priority,name,scope,contracts,website,status,verdict,reason
184,Spring Healthcare Limited,Local,1,https://springhealthcareltd.co.uk/,pending,,
185,St Andrew's Healthcare,Local,1,http://www.stah.org/,pending,,
186,Stephen Support T/a Clements Healthcare,Local,1,http://clementshealthcare.co.uk/,pending,,
187,Strong Life Care Limited,Local,1,http://www.stronglifecare.co.uk/,pending,,
188,Sublime Care Solutions Ltd,Local,1,https://www.sublimecaresolutionlimited.co.uk/,pending,,
189,Sunbreeze Healthcare Limited Trading as: Ashlee Residential Care,Local,1,http://www.sbcarehomes.com/,pending,,
190,Sunrise Healthcare Ltd,Local,1,https://www.sunrisehealthcareltd.co.uk/,pending,,
191,T S Healthcare Limited,Local,1,http://tshealthcare.co.uk/,pending,,
192,TPR Care Services Ltd,Local,1,https://tprcareservices.co.uk/,pending,,
193,The Open Care Group,Local,1,http://opencareservices.com/,pending,,
194,THW Way Care Services,Local,1,http://www.thewaycareservices.co.uk,pending,,
195,UNIC Care Services Ltd - Elm House,Local,1,http://unicareservices.co.uk/,pending,,
196,Unified Care Services Ltd,Local,1,http://unifiedcare.co.uk/,pending,,
197,Valorum Care Ltd (operating as Marran Ltd),Local,1,https://www.valorumcaregroup.com/,pending,,
198,Wolds and Coast Domiciliary Agency,Local,1,https://www.hafod.org.uk/care/,pending,,
199,Yocare Healthcare Solutions,Local,1,http://yocare.co.uk/,pending,,
200,arch care services ltd,Local,1,https://www.archcareservices.co.uk/,pending,,
201,carebank healthcare ltd,Local,1,http://www.care-bank.co.uk/,pending,,
202,iTrust Care Services,Local,1,https://itrustcareservices.com/,pending,,
203,Hillside Care Services CIC,Local,1,https://hillsidecare.co.uk,pending,,
204,Sunset Rehabiltation Healthcare Centre,Local,1,https://www.sunsetrehabilitation.co.uk,pending,,
205,Barmat Healthcare,Local,1,https://barmathealthcare.co.uk,pending,,
206,Everyone Everywhere Care Services,Local,1,https://everyoneeverywhere.co.uk,pending,,
